ticker,note_found,has_debt_instruments_concept,has_maturities_concept,filing_date,error,sector,market_cap,decile
HUM,True,False,True,2026-02-19,,HEALTHCARE,46295761000.0,8
COKE,True,False,True,2026-02-18,,CONSUMER DEFENSIVE,13212347000.0,7
NB,False,False,False,2025-09-11,,BASIC MATERIALS,601274000.0,1
EQT,True,True,False,2026-02-18,,ENERGY,34134409000.0,8
CGAU,False,False,False,,no 10-K on file,BASIC MATERIALS,4585041000.0,5
PNR,True,True,False,2026-02-24,,INDUSTRIALS,9842531000.0,7
GOGO,True,True,False,2026-02-27,,COMMUNICATION SERVICES,341480000.0,0
AVTR,True,False,True,2026-02-11,,HEALTHCARE,9861311000.0,7
NGNE,False,False,False,2026-03-24,,HEALTHCARE,732016000.0,1
IMCR,False,False,False,2026-02-25,,HEALTHCARE,1885879000.0,3
RAPP,False,False,False,2026-03-10,,HEALTHCARE,2339901000.0,4
WSFS,False,False,False,2026-03-02,,FINANCIAL SERVICES,4023681000.0,5
FCCO,False,False,False,2026-03-16,,FINANCIAL SERVICES,316113000.0,0
NEXT,True,False,True,2026-03-02,,ENERGY,1956463000.0,3
ACHV,False,False,False,2026-03-24,,HEALTHCARE,833510000.0,2
STZ,True,False,True,2026-04-22,,CONSUMER DEFENSIVE,22322422000.0,8
YEXT,False,False,False,2026-03-10,,TECHNOLOGY,692714000.0,1
TRIP,True,True,False,2026-02-13,,CONSUMER CYCLICAL,1148485000.0,2
SXI,True,True,False,2026-08-14,,INDUSTRIALS,3616933000.0,5
GNK,True,True,True,2026-02-18,,INDUSTRIALS,1128021000.0,2
PINE,True,True,True,2026-02-05,,REAL ESTATE,368034000.0,0
SRTA,False,False,False,2026-03-03,,HEALTHCARE,528147000.0,1
NOW,False,False,False,2026-01-29,,TECHNOLOGY,149610185000.0,9
EXTR,True,False,True,2026-08-17,,TECHNOLOGY,2946479000.0,4
BTDR,False,False,False,,no 10-K on file,TECHNOLOGY,2804793000.0,4
AG,False,False,False,,no 10-K on file,BASIC MATERIALS,10232737000.0,7
GFI,False,False,False,,no 10-K on file,BASIC MATERIALS,40945603000.0,8
ALTG,False,False,False,2026-02-26,,INDUSTRIALS,192408000.0,0
MHK,True,False,True,2026-02-24,,CONSUMER CYCLICAL,8798507000.0,6
ETN,True,True,True,2026-02-26,,INDUSTRIALS,156439757000.0,9
MCO,True,False,True,2026-02-18,,FINANCIAL SERVICES,89179554000.0,9
KN,False,False,False,2026-02-09,,TECHNOLOGY,2923596000.0,4
ABAT,True,False,True,2025-09-18,,INDUSTRIALS,350585000.0,0
NG,False,False,False,2026-01-22,,BASIC MATERIALS,3839330000.0,5
SQM,False,False,False,,no 10-K on file,BASIC MATERIALS,22459701000.0,8
UEC,False,False,False,2025-09-24,,ENERGY,6136417000.0,6
CLB,True,True,False,2026-03-23,,ENERGY,567133000.0,1
SLM,True,True,True,2026-02-19,,FINANCIAL SERVICES,4965080000.0,5
ZETA,True,False,True,2026-02-25,,TECHNOLOGY,7665955000.0,6
DAN,True,True,True,2026-02-27,,CONSUMER CYCLICAL,3264952000.0,4
RGTI,False,False,False,2026-03-04,,TECHNOLOGY,5203454000.0,5
CNC,True,False,True,2026-02-17,,HEALTHCARE,31986176000.0,8
BCPC,False,False,False,2026-02-20,,BASIC MATERIALS,5688314000.0,6
NBR,True,True,True,2026-02-13,,ENERGY,1422540000.0,3
MAC,True,False,True,2026-02-20,,REAL ESTATE,7006971000.0,6
GM,True,False,True,2026-01-27,,CONSUMER CYCLICAL,78027031000.0,9
EVR,True,False,True,2026-02-20,,FINANCIAL SERVICES,11156985000.0,7
GPC,True,False,True,2026-02-20,,CONSUMER CYCLICAL,18957095000.0,8
ABSI,False,False,False,2026-03-24,,HEALTHCARE,1494758000.0,3
OLLI,False,False,False,2026-03-19,,CONSUMER DEFENSIVE,4378028000.0,5
ALMU,False,False,False,2025-09-09,,TECHNOLOGY,239800000.0,0
ADEA,True,False,True,2026-02-26,,TECHNOLOGY,2782368000.0,4
CDRE,True,False,True,2026-03-10,,INDUSTRIALS,1316309000.0,2
EYPT,False,False,False,2026-03-05,,HEALTHCARE,375609000.0,0
MSEX,True,False,True,2026-02-19,,UTILITIES,1102182000.0,2
LYB,True,True,False,2026-02-20,,BASIC MATERIALS,20567826000.0,8
LLY,True,True,False,2026-02-12,,HEALTHCARE,1046996910000.0,9
AEBI,True,False,True,2026-03-19,,INDUSTRIALS,958400000.0,2
HCA,False,False,False,2026-02-10,,HEALTHCARE,92689113000.0,9
CWST,True,False,True,2026-02-20,,INDUSTRIALS,5961800000.0,6
CERS,True,False,True,2026-03-02,,HEALTHCARE,534041000.0,1
PFSI,True,False,True,2026-02-20,,FINANCIAL SERVICES,3812206000.0,5
EGP,True,True,True,2026-02-11,,REAL ESTATE,10727776000.0,7
NEM,True,False,True,2026-02-19,,BASIC MATERIALS,132828447000.0,9
